Site,Requirements,How to Apply,Date,Contact,About
https://www.zabursaries.co.za/accounting-bursaries-south-africa/old-mutual-accounting-bursary/,"ELIGIBILITY REQUIREMENTS FOR THE OLD MUTUAL ACCOUNTING BURSARY
Applicants must satisfy the following minimum entry criteria before applying (please note that failure to satisfy all the requirements will lead to your application not being considered):
Matric students/ students not yet studying:

You must be a South African citizen
You must be under 21 years old
You must be currently in Matric OR have completed Matric
You must NOT have completed any post-Matric qualifications
You must intend on studying towards an undergraduate Accounting Science (Chartered Accounting Stream) qualification
You must have applied to study at one of the following tertiary institutes: University of Cape Town, University of Stellenbosch, University of the Western Cape, University of Johannesburg, University of Pretoria, University of the Witwatersrand, University of Free State, University of Fort Hare, University of KwaZulu-Natal, University of South Africa (UNISA), Rhodes University, North West University, Nelson Mandela Metropolitan University
You must have achieved a minimum result of 70% for Mathematics (not Mathematics Literacy) in Matric
You must have achieved a minimum result of 60% for English HL or 70% for English FAL in Matric
You must have achieved a minimum result of 70% for all other subjects in Matric
You must be committed to enter the Old Mutual CA Training Programme and work for the company after graduation

University students Criteria:

You must be a South African citizen
You must be under 25 years old
You must have completed Matric
You must be studying towards an undergraduate Accounting Science (Chartered Accounting Stream) qualification
You must be studying at one of the following tertiary institutes: University of Cape Town, University of Stellenbosch, University of the Western Cape, University of Johannesburg, University of Pretoria, University of the Witwatersrand, University of Free State, University of Fort Hare, University of KwaZulu-Natal, University of South Africa (UNISA), Rhodes University, North West University, Nelson Mandela Metropolitan University
You must have achieved a minimum result of 60% for core modules (Financial Accounting, Taxation, Management Accounting, Auditing)
You must have achieved a minimum overall average of 60% for all modules
You must be committed to enter the Old Mutual CA Training Programme and work for the company after graduation

 
","HOW TO APPLY FOR THE OLD MUTUAL ACCOUNTING BURSARY
Applications must be submitted online at: Old Mutual Accounting Bursary Application 2025
(Reference: JR-56725)
Applicants will be required to Create an Account before they can Login and apply.
Enter “www.zabursaries.co.za” in the field asking how you heard about the Old Mutual bursary.
 
Submit clear copies of the following supporting documentation along with your online application (the submission of these documents is compulsory – if any items are missing, your application may be disqualified):

ID document (certified copy)
Matric latest results, if currently in Matric
Matric certificate, if completed Matric
Proof of acceptance or conditional acceptance at University, if applicable
Full academic transcript, if currently studying
NBT statement, if applicable
Completed Bursary Motivation Form (.pdf)
Curriculum Vitae (1 page)

 
","CLOSING DATE FOR THE OLD MUTUAL ACCOUNTING BURSARY
31 October 2024 (extension).
(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.)
 
","CONTACT THE BURSARY PROVIDER
For any queries related to this bursary programme, please contact Old Mutual directly:
Early Careers team
Email: earlycareers@oldmutual.com
 
Please do NOT contact Old Mutual if this bursary has already closed. View our other bursaries open for application here: https://www.zabursaries.co.za/bursary-news/
This bursary listing was last updated in October 2024.
SA Bursaries wishes you the best of luck with your application! Please remember to SHARE this page with anyone you know who may be in need of bursary funding.











","ABOUT THE BURSARY PROVIDER – OLD MUTUAL
Old Mutual is Southern Africa’s most well-established and biggest financial services provider, providing services to individuals and businesses. The companies personal finance solutions include a range of insurance cover options and savings plans for individuals, including financial planning; retirement planning; education planning; savings and investments; disability and severe illness cover; wills and trusts; short-term insurance life insurance and funeral cover.
The companies business solutions include institutional investing; retirement investments; consulting services; retirement fund solutions; corporate servicing; cell captive solutions; employee well being; risk and disability benefits; business insurance and agriculture insurance.
 
ABOUT THE OLD MUTUAL ACCOUNTING BURSARY PROGRAMME – FIELDS COVERED
Old Mutual is inviting students to apply for their Accounting Bursary programme, for the 2025 academic year.
The bursary will be awarded for Accounting Science (Chartered Accounting Stream) studies, at any of these selected institutions: University of Cape Town, University of Stellenbosch, University of the Western Cape, University of Johannesburg, University of Pretoria, University of the Witwatersrand, University of Free State, University of Fort Hare, University of KwaZulu-Natal, University of South Africa, Rhodes University, North West University, Nelson Mandela Metropolitan University.
The Old Mutual Accounting Bursary is aimed at young individuals who are passionate about making a career for themselves in Chartered Accounting.
 
** RELATED BURSARIES **

View our other Accounting Bursaries and Scholarships here.
View our other University-specific Bursaries and Scholarships here.
View our other Bursaries and Scholarships OPEN for application here.

 
MORE ABOUT THE OLD MUTUAL ACCOUNTING BURSARY PROGRAMME – EXPENSES COVERED & OTHER OPPORTUNITIES
www.zabursaries.co.za is committed to keeping you up to date with the latest bursary opportunities, and this article covers all details about the Old Mutual Accounting Bursary.
The Old Mutual bursary will provide cover for the following expenses: tuition fees, study materials, accommodation in residence and a return flights home (if studying outside of your hometown).
Students will also have the chance to partake in vacation work, during the holidays.
Bursary recipients will receive support for the full duration of their degree and students who achieve excellent grades will receive more incentives.
Trainees will receive broad exposure in all spheres of finance as prescribed as by SAICA. Bursary recipients will get exposed to accounting and external reporting, management decision-making and control, financial management, risk management, governance and taxation.
 
WHAT AN ACCOUNTING CAREER INVOLVES
Chartered Accountants are involved with various aspects of financial work, including:

Managing financial systems and budgets
Undertaking financial audits
Providing financial advise
Preparation of financial reports and documents
Maintaining investment records
Reviewing possible financial risk
Providing professional opinions and advise to companies regarding financial decisions
Management or business roles

 
"
https://www.zabursaries.co.za/accounting-bursaries-south-africa/ernest-oppenheimer-memorial-trust-bursary/,"ELIGIBILITY REQUIREMENTS
Applicants must satisfy the following minimum entry criteria before applying (please note that failure to satisfy all the requirements will lead to your application not being considered):

South African citizen OR a South African permanent resident
In need of financial assistance to complete your studies
Students who intend on studying Engineering/ Geology: must have obtained a minimum level 6 for Mathematics and  Science
Students who intend on studying Accounting: must have obtained a minimum level 6 for Mathematics

 
","HOW TO APPLY
You may apply in one of the following ways:
1) Online at: http://www.careerwise.co.za/index.php?pg=application_forms
(You will need to register an account and then login to complete your application. The promo code to be used is: F2017)
2) By downloading and completing the Ernest Oppenheimer Memorial Trust Bursary Application Form (.pdf)
If you are applying via the application form, your application must be submitted in one of the following ways
a) Email: applications@careerwise.co.za
b) Fax: 086 609 7183
c) Post:
Career Wise (Pty) Ltd
PO Box 30632
Braamfontein
2017
 
You will be required to submit copies of the following supporting documentation (if you are applying online: these documents must be uploaded to your online profile, if you are applying with the application form: you must attach copies of the documents and not originals) (the submission of these documents is compulsory – if any items are missing, your application be disregarded):

ID document (certified copy)
Photograph (passport size)
Grade 11 final results (current Matric students)
Proof of admission into a tertiary institution (current Matric students)
Matric certificate (if completed Matric)
Full academic record to date (current tertiary students)
Proof of financial need (proof of household income)

 
","CLOSING DATE
Currently closed for application.
 
","CONTACT THE BURSARY PROVIDER
For any queries related to this bursary programme, please contact Career Wise directly:
Tel: 086 100 8777 / 086 100 7787
Email: applications@careerwise.co.za / info@careerwise.co.za











",
https://www.zabursaries.co.za/,,,,"
",
https://www.zabursaries.co.za/accounting-bursaries-south-africa/sng-grant-thornton-bursary/,"ELIGIBILITY REQUIREMENTS
Applicants must satisfy the following minimum entry criteria before applying (please note that failure to satisfy all the requirements will lead to your application not being considered):

South African citizen
Completed Matric
Achieved a University endorsement with an Admission Point Score (APS) of 34 (excluding Life Orientation)
Achieved a minimum of level 6 for Mathematics in Matric
Achieved a minimum of level 5 for English in Matric
Studying towards a BCom Accounting (CA-stream) degree or CTA qualification
Studying at a SAICA accredited university (which includes: University of South Africa (UNISA), University of Johannesburg, University of Pretoria, University of the Witwatersrand, Rhodes University, University of KwaZulu-Natal, University of Cape Town, University of Stellenbosch, University of the Western Cape, University of Fort Hare, University of Free State, North-West University and Nelson Mandela Metropolitan University)


","HOW TO APPLY FOR THE BURSARY
Applications must be done online at: https://bursaries.simplify.hr/Vacancy/Apply/att5e5
 
Submit clear copies of the following supporting documentation along with your completed application form (the submission of these documents is compulsory – if any items are missing, your application be disregarded):

ID document (certified copy)
Matric certificate (certified copy)
Full tertiary academic record (certified copy)
Covering letter
Curriculum Vitae

 
","CLOSING DATE
To be confirmed.
(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.)
 
","CONTACT THE BURSARY PROVIDER
For any queries related to this bursary programme, please contact SNG Grant Thornton directly:
Tel: 011 231 0600
Email: info@sng.gt.com / Training.Recruitment@sng.gt.com











",
https://www.zabursaries.co.za/accounting-bursaries-south-africa/thuthuka-bursary-fund/,"ELIGIBILITY REQUIREMENTS FOR THE SAICA THUTHUKA BURSARY
Applicants must satisfy the following minimum entry criteria before applying (please note that failure to satisfy all the requirements will lead to your application not being considered):

You must be a South African citizen
You must be a Black African or Coloured student
You must be from a disadvantaged background
You must be currently in Matric OR have completed Matric within the last 2 years
You must have achieved a minimum result of 60% (level 5) for Mathematics in Grade 11 (NOT Mathematics Literacy or Technical Mathematics)
You must be studying OR intend on studying towards one of the qualifications listed above, in 2025
You must have applied or are in the process of applying, to study towards one of the qualifications listed above, at one of the SAICA accredited universities
You must have a combined family income of NOT more than R350 000 per annum
You must have written or will write the National Benchmark Tests (NBT) before the bursary closing date (read about the NBT here)

 
","HOW TO APPLY FOR THE SAICA THUTHUKA BURSARY
Applications must be submitted online at: SAICA Thuthuka Bursary Application 2025
Enter “www.zabursaries.co.za” in the field asking how you heard about the SAICA Thuthuka bursary.
 
Submit clear copies of the following supporting documentation along with your application (the submission of these documents is compulsory – if any items are missing, your application may be disqualified):

ID document (certified copy)
Grade 11 final results (certified copy)
Matric latest results, if currently in Matric (certified copy)
Matric final results, if completed Matric (certified copy)
Proof of University provisional acceptance/ registration, if currently in Matric (on University letterhead)
Full University academic record, if currently studying (on University letterhead)
Parents or guardians ID documents (certified copies)
Parents or guardians proof of income (latest payslips if employed, affidavit if unemployed) (certified copies)
ID documents or birth certificates of other dependents in your family income (certified copies)
Signed Thuthuka Consent Form (.pdf)

 
","CLOSING DATE FOR THE SAICA THUTHUKA BURSARY
31 August 2024 (at 12:00).
(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.)
 
","CONTACT THE BURSARY PROVIDER
For any queries related to this bursary programme, please contact the SAICA directly:
Tel: 011 621 6600
Email: tbf@saica.co.za
 
Please do NOT contact the SAICA if this bursary has already closed. View our other bursaries open for application here: https://www.zabursaries.co.za/bursary-news/
This bursary listing was last updated in September 2023.
SA Bursaries wishes you the best of luck with your application! Please remember to SHARE this page with anyone you know who may be in need of bursary funding.











","ABOUT THE BURSARY PROVIDER – SAICA
The South African Institute of Chartered Accountants (SAICA) is a South African based accountancy body, in fact they are the top accountancy body in the country. The history of the company dates back to 1894, when it was formed in Johannesburg as “The Institute of Accountants and Auditors”. SAICA is one of the global leading Institutes and currently boasts more than 36 000 members. The company prides itself on providing their CAs with advice, support and services over the course of their professional lives.
In 1987, SAICA joined forces with the Association for the Advancement of Black Accountants (ABASA) and the PAAB to create the CAs’ Eden Trust, as a means to provide bursary funding to black CAs(SA). The name then changed to the Thuthuka Bursary Fund in 2002 and has since assisted many struggling students complete their studies and reach their dreams of becoming a CA.
SAICA has been awarding bursaries to disadvantaged African and coloured students who want to study to become CAs(SA), since 2005, by way of the Thuthuka Bursary programme.
 
ABOUT THE SAICA THUTHUKA BURSARY PROGRAMME – FIELDS COVERED
SAICA is inviting students to apply for the Thuthuka Bursary, for the 2025 academic year.
The Thuthuka Bursary is open to students who are studying towards a career in Chartered Accountancy – specifically the following undergraduate qualifications, at these selected institutions:

University of Johannesburg (UJ): Bachelor of Accounting (Course code BCA012)
University of Pretoria (UP): Accounting  Sciences (Course code 07130044)
University of Witwatersrand (WITS): B Acc  Science (Course Code CB008)
University of Free State (UFS – Bloemfontein Campus): Bachelor of Accounting (Course code BC636060) / PGCA (Course code BC656060)
University of Fort Hare (UFH): B Com Accounting (Course Code 60001)
University of Cape Town (UCT): B Com (Course Code CB024) / PGDA (Course Code CG010ACC01)
University of Western Cape (UWC): (Course Code 1021 or 1753)
Stellenbosch University (SU): B Com Accounting/ B Rek (Course code 3091001)
Rhodes University (RU): Bachelor of Commerce (Accounting)
Nelson Mandela University (NMU): B Com Accounting (Course code 40103)
North West University (NWU – Potch Campus): B Com CA (Course code 5DAH01-E302)
University of Kwa-Zulu Natal (UKZN – Westville Campus): Bachelor of Commerce in Accounting (code BCOM-C)
University of Limpopo (UL) – CTA only: PGDA [Post Graduate Diploma in Accountancy]

www.zabursaries.co.za is committed to keeping you up to date with the latest bursary opportunities, and this article covers all details about the SAICA Thuthuka Bursary.
 
** RELATED BURSARIES **

View our other Accounting Bursaries and Scholarships here.
View our other Bursaries and Scholarships OPEN for application here.

 
MORE ABOUT THE THUTHUKA BURSARY PROGRAMME – EXPENSES COVERED & OTHER BENEFITS
The bursary will provide cover for the following expenses: tuition, books, meals, residence fees and accommodation.
Bursary recipients will also have access to the following benefits: academic support (including various academic enrichment programmes: additional tutorials, study skills workshops etc), social and emotional support, work-readiness and life skills training, mentoring and counselling, and access to dedicated programme manager exposure to experienced chartered accountants and business leaders as mentors.
The Thuthuka Bursary will NOT pay for existing loans or debts.
 
MORE ABOUT THE THUTHUKA BURSARY PROGRAMME – SELECTION
Bursary recipients will be required to sign a contract with the Thuthuka Education and Upliftment Fund (TEUF) and NSFAS.Education grants
Bursaries are awarded annually and are renewed at the discretion of the fund. Candidates will be selected based on 3 main criteria: academic results, financial need as determined by the NSFAS financial means test and National Benchmark Test (NBT) results.
Shortlisted applicants will be contacted – if you do not receive any feedback, please regard your application as unsuccessful.
 
"
https://www.zabursaries.co.za/accounting-bursaries-south-africa/fasset-outstanding-study-debt-assistance-grant/,"ELIGIBILITY REQUIREMENTS FOR THE FASSET OUTSTANDING STUDENT DEBT PROGRAMME
Applicants must satisfy the following minimum entry criteria before applying (please note that failure to satisfy all the requirements will lead to your application not being considered):

You must be a South African citizen
You must have completed Matric
You must be employed
You must have completed a qualification within the Accounting or Financial sector
You must have an outstanding loan at NSFAS/ your higher  education learning institution
You must be in financial need
Preference will be given to those who earn less than R600 000 per annum and those who are currently engaging in FASSET learnership/ internship programmes

 
","HOW TO APPLY FOR THE FASSET OUTSTANDING STUDENT DEBT PROGRAMME
Download and complete the application form in either of the following formats:
FASSET Outstanding Study Debt Assistance Grant Application Form (.docx)
FASSET Outstanding Study Debt Assistance Grant Application Form (.pdf)
Enter “www.zabursaries.co.za” in the field asking how you heard about the FASSET Outstanding Study Debt Assistance Grant.
 
Submit clear copies of the following supporting documentation along with your completed application form (the submission of these documents is compulsory – if any items are missing, your application may be disqualified):

ID document (certified copy)
Recent copy of NSFAS statement/ higher institution statement (no older than 30 days of submission of your FASSET application)
Full academic transcript/ certificate stating the successful completion of your qualification
Signed declaration form (attached in application form)
Signed confirmation of employment/ copy of your employment contract from your employer

 
Applications must be submitted via email to: bursaryapplication@fasset.org.za
(Insert the words “FASSET Outstanding Study Debt Application” in the email subject line).
 
","CLOSING DATE FOR THE FASSET OUTSTANDING STUDENT DEBT PROGRAMME
28 February 2023 (at midnight/ 00:00) or upon depletion of the Budget.
(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.)
 
CONTACT THE GRANT PROVIDER
For any queries related to this bursary programme, please contact FASSET directly:
Tel: 011 476 8570
Email: fassetcallcentre@fasset.org.za / bursaryapplication@fasset.org.za
 
Please do NOT contact FASSET if this bursary has already closed. View our other bursaries open for application here: https://www.zabursaries.co.za/bursary-news/
This bursary listing was last updated in January 2023.
SA Bursaries wishes you the best of luck with your application! Please remember to SHARE this page with anyone you know who may be in need of bursary funding.










","
",
https://www.zabursaries.co.za/accounting-bursaries-south-africa/kpmg-bursary/,"ELIGIBILITY REQUIREMENTS FOR THE KPMG BURSARY
Applicants must satisfy the following minimum entry criteria before applying (please note that failure to satisfy all the requirements will lead to your application not being considered):

You must be a South African citizen
You must be currently in Matric or have completed Matric
You must be studying or intend on studying full-time towards a SAICA accredited Chartered Accounting or CAs(SA) qualification (students can find SAICA Accredited programmes and institutions here)
You must be studying or intend on studying at a SAICA-accredited university
You must have a strong academic record
You must have proven financial need, if apply for the Merit bursary with financial need

 
","HOW TO APPLY FOR THE KPMG BURSARY
Applications must be submitted online, by following these steps:
1) Apply for a KPMG Training Contract (they are available in Cape Town, Durban, Johannesburg and Port Elizabeth).
2) Apply online at KPMG Bursary Application 2023 (use your Taleo reference number you received in the step 1, when applying for the bursary).
Enter “www.zabursaries.co.za” in the field asking how you heard about the KPMG bursary.
 
Submit clear copies of the following supporting documentation along with your application (the submission of these documents is compulsory – if any items are missing, your application may be disqualified):

ID document (certified copy)
Matric recent results, if currently in Matric (certified copy)
Matric certificate, if completed Matric (certified copy)
Full academic record/ transcripts, if currently studying (certified copy)
Updated fee statement, if currently studying (certified copy)
Updated Curriculum Vitae (certified copy)
Proof of provisional acceptance at University, if currently in Matric (certified copy)

If applying for a Merit with Financial Need bursary, please add:

Parents or guardians proof of income (latest payslips if employed/ affidavit if unemployed/ proof of pension or grant if applicable) (certified copy)
Parents or guardians 3 months’ recent bank statements
Recent utility bill (water and electricity, cell phone, etc)

 
","CLOSING DATE FOR THE KPMG BURSARY
31 December 2022.
(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.)
 
","CONTACT THE BURSARY PROVIDER
For any queries related to this bursary programme, please contact KPMG directly:
Email: bursarysupport@kpmg.co.za
(Please note that it may take up to 48 hours to receive a response).
 
Please do NOT contact KPMG if this bursary has already closed. View our other bursaries open for application here: https://www.zabursaries.co.za/bursary-news/
This bursary listing was last updated in November 2022.
SA Bursaries wishes you the best of luck with your application! Please remember to SHARE this page with anyone you know who may be in need of bursary funding.











","ABOUT THE BURSARY PROVIDER – KPMG
KPMG (Klynveld Peat Marwick Goerdeler) was formed in the year 1987 by a merger between Klynveld Main Goerdeler (KMG) and Peat Marwick International. However, KPMG in South Africa has roots all the way back to 1895 when Alexander Aiken started his Public Accountant and Auditor business in Johannesburg. At the core of KPMG is 2 major firms – Peat, Marwick, Mitchell & Co. and Aiken & Carter.
The international firm offers a range of services including audit, advisory and tax services to global clients. At present, the company has an impressive global employee base of more than 162 000 staff members.
 
ABOUT THE KPMG BURSARY PROGRAMME – FIELDS COVERED
KPMG is inviting students to apply for their bursary programmes, for the 2023 academic year.
KPMG offers 2 types of bursaries, for studies towards SAICA accredited Chartered Accounting or CAs(SA) studies:
1) Pure merit bursary: awarded based on academic results alone, for students who don’t need extensive funding.
2) Merit bursary with financial need: awarded based on academic results AND financial need, for students who would not be able to attend university without funding.
 
** RELATED BURSARIES **

View our other Accounting Bursaries and Scholarships here.
View our other Bursaries closing in December 2022 here.

 
MORE ABOUT THE KPMG BURSARY PROGRAMME
www.zabursaries.co.za is committed to keeping you up to date with the latest bursary opportunities, and this article covers all details about the KPMG Bursary.
KPMG reserves the right to decide whether students should receive the Pure Merit Bursary or the Merit Bursary with Financial Needs, as well as to determine the value of the bursary.
KPMG reserves the right to determine the length of the bursary award, as well as the amount, depending on satisfactory academic performance of the student and availability of funds.
Bursary recipients will be required to enter into a learnership (training contract) with KPMG, after graduation.
 
"
https://www.zabursaries.co.za/accounting-bursaries-south-africa/moore-bursary/,"ELIGIBILITY REQUIREMENTS FOR THE MOORE BURSARY
Applicants must satisfy the following minimum entry criteria before applying (please note that failure to satisfy all the requirements will lead to your application not being considered):

You must have completed Matric
You must be studying towards a SAICA accredited qualification in Accounting
You must be studying at a recognised and accredited tertiary institute in South Africa
You must have a strong academic record
You must be in financial need and unable to afford your studies

 
","HOW TO APPLY FOR THE MOORE BURSARY
Applications must be submitted online at: Moore Bursary Application 2025
(Reference Number: MSA240731-1)
Enter “www.zabursaries.co.za” in the field asking how you heard about the Moore bursary.
 
Submit clear copies of the following supporting documentation along with your completed online application (the submission of these documents is compulsory – if any items are missing, your application may be disqualified):

ID document (certified copy)
Matric certificate (certified copy)
Full tertiary record/ transcripts (on institutes letterhead)
Motivational letter explaining why Moore should award you a bursary (read our tips on how to write a motivational letter for your bursary application)

 
","CLOSING DATE FOR THE MOORE BURSARY
29 October 2024.
(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.)
 
","CONTACT THE BURSARY PROVIDER
For any queries related to this bursary programme, please contact Moore South Africa directly:
Contact page: https://www.moore-southafrica.com/locations
 
Please do NOT contact Moore if this bursary has already closed. View our other bursaries open for application here: https://www.zabursaries.co.za/bursary-news/
This bursary listing was last updated in October 2024.
SA Bursaries wishes you the best of luck with your application! Please remember to SHARE this page with anyone you know who may be in need of bursary funding.











","ABOUT THE BURSARY PROVIDER – MOORE SOUTH AFRICA
Moore South Africa is part of Moore Global Network Limited, a global company that is headquartered in London. Moore Global founded in 1907, is one of the top international tax, audit, assurance and consulting networks, with a presence in 112 countries.
Moore South Africa has offices across the country, including in the following locations: Benoni, Cape Town, Durban, East London, George, Humansdorp,  Johannesburg, Lichtenburg, Mossel Bay, Pietermaritzburg, Port Elizabeth, Pretoria and Stellenbosch. The company offers a range of services in Audit & Assurance; Tax; Advisory and Business Services.
 
ABOUT THE MOORE BURSARY PROGRAMME – FIELDS COVERED
Moore Jeffreys Bay / Humansdorp is inviting students to apply for their bursary programme, for the 2025 academic year.
Bursaries will be awarded to 8 students, for studies towards a SAICA accredited qualification in Accounting.
 
** RELATED BURSARIES **

View our other Accounting Bursaries and Scholarships here.
View our other Bursaries OPEN for application here.

 
MORE ABOUT THE MOORE BURSARY
Bursary recipients will be required to complete their vacation work at Moore Jeffreys Bay / Humansdorp and contribute to any branding opportunities that may arise. They will also be required to complete their traineeship contract with Moore Jeffreys Bay / Humansdorp.
www.zabursaries.co.za is committed to keeping you up to date with the latest bursary opportunities, and this article covers all details about the Moore Bursary.
 
"
https://www.zabursaries.co.za/accounting-bursaries-south-africa/sizwentsalubagobodo-bursary/,"ELIGIBILITY REQUIREMENTS
Applicants must satisfy the following minimum entry criteria before applying (please note that failure to satisfy all the requirements will lead to your application not being considered):

South African citizen
Currently in Grade 11 or Matric year of study
Achieving a minimum of 60% in English and Mathematics
In need of financial assistance (previously disadvantaged individual)
Intend on becoming a Chartered Accountant (SA)

 
","HOW TO APPLY FOR THE BURSARY
Applicants who meet the minimum entry criteria, should email SizweNtsalubaGobodo and request a copy of the application form at: humanresources@sng.za.com
You may be required to submit clear copies of the following supporting documentation along with your completed application form (the submission of these documents is compulsory – if any items are missing, your application be disregarded):

ID document (certified copy of)
Grade 11 latest results (if currently in Grade 11)
Matric latest results (if currently in Matric)
Motivational letter explaining why you deserve to be awarded a bursary

 
","CLOSING DATE
To be confirmed.
(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.)
 
","CONTACT THE BURSARY PROVIDER
For any queries related to this bursary programme, please contact SizweNtsalubaGobodo directly:
Tel: 011 231 0600
Email: humanresources@sng.za.com / info@sng.za.com











",
https://www.zabursaries.co.za/accounting-bursaries-south-africa/momentum-investments-bursary/,"ELIGIBILITY REQUIREMENTS FOR THE MOMENTUM INVESTMENTS BURSARY
Applicants must satisfy the following minimum entry criteria before applying (please note that failure to satisfy all the requirements will lead to your application not being considered):

You must be studying or intend on studying towards an undergraduate BCom qualification, within one of the fields of study listed above, in 2025
You must studying or have been accepted to study at a recognised and accredited public university in South Africa
You must be entering your 1st, 2nd or 3rd year of study in 2025
You must have a strong academic record
You must have achieved a minimum overall average of 75% for the previous year of study
You must come from a previously disadvantaged background
You must have a combined household income of less than R600 000 per annum

 
","HOW TO APPLY FOR THE MOMENTUM INVESTMENTS BURSARY
Applications must be submitted online at: Momentum Investments Phambili Bursary Application 2025
Enter “www.zabursaries.co.za” in the field asking how you heard about the Momentum Investments bursary.
 
After completing the online application, your application will be assessed and if you qualify, you will be provided with further application details.
Shortlisted candidates may be required to provide supporting documents, such as:

ID document (certified copy)
Full university academic record, including latest results (on institutions letterhead)
Proof of University acceptance for 2025
Parents or guardians proof of household income (most recent payslips if employed/ affidavit if unemployed/ proof of sassa grant or pension if applicable)

 
","CLOSING DATE FOR THE MOMENTUM INVESTMENTS BURSARY
4 October 2024.
(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.)
 
","CONTACT THE BURSARY PROVIDER
For any queries related to this bursary programme, please contact Momentum Investments directly:
Email: MIBursary@momentum.co.za
 
Please do NOT contact Momentum Investments if this bursary has already closed. View our other bursaries open for application here: https://www.zabursaries.co.za/bursary-news/
This bursary listing was last updated in September 2024.
SA Bursaries wishes you the best of luck with your application! Please remember to SHARE this page with anyone you know who may be in need of bursary funding.











","ABOUT THE BURSARY PROVIDER – MOMENTUM INVESTMENTS
Momentum Metropolitan Holdings, previously known as MMI Holdings Limited (MMI), is a financial services group based in South Africa. The JSE (Johannesburg Stock Exchange)-listed and Namibian Stock Exchange (NSX)-listed company group has subsidiary companies in 14 countries, including Namibia, Botswana, Zambia, Swaziland, Mauritius, Nigeria, Lesotho, Ghana, Kenya, Guernsey, Gibraltar and the UK.
Momentum Investments helps clients to grow their wealth – from individual savings, to retirement or even for businesses to build their portfolio or a financial adviser in need of practical tools and customised solutions.
 
ABOUT THE MOMENTUM INVESTMENTS BURSARY PROGRAMME – FIELDS COVERED
Momentum Investments Group is inviting students to apply for their Phambili 2.0 Bursary Programme, for the 2025 academic year.
Bursaries will be awarded to top academic students, for undergraduate degree studies within the following fields:

Accounting
Financial Management
Information Technology
Investments Management
Mathematics
Statistics
*or a related field

 
** RELATED BURSARIES **

View our other Accounting & Finance Bursaries and Scholarships here.
View our other Mathematics & Statistics Bursaries and Scholarships here.
View our other Bursaries OPEN for application here.

 
MORE ABOUT THE MOMENTUM INVESTMENTS BURSARY PROGRAMME – EXPENSES COVERED & SELECTION
The bursary will provide cover for the following expenses: tuition fees, textbooks and accommodation.
After graduation, bursary recipients will be required to partake in the Phambili internship programme.
If you do not receive any feedback by 31 December 2024, please consider your application as unsuccessful.
www.zabursaries.co.za is committed to keeping you up to date with the latest bursary opportunities, and this article covers all details about the Momentum Investments Bursary.
 
"
